account,opp,stage,forecasted,fc,amount,close,pinned,verdict,win_old,win_new,mom_old,mom_new,fc_conf,risk,commit,ceiling,qual_cap,override,win_reasons,mom_reasons,note
University of Wollongong in Dubai,UOWD,Formal Evaluation,True,Pipeline,135000.0,2026-07-31,False,Slowing,52.0,52.0,54.6,54.6,44.6,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,"trend_nudge +8.0: recent CRM moves: stage advanced, amount up, close pulled in | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | exec_access +3.8: exec access strength +0.85 (weight 15) — from MEDDPICC 2.0: Kerelos HOP | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) — from MEDDPICC 2.0: Kerolos Abdelmalk (Procurement Lead) is the primary i",stalling -8.6: last genuine buyer touch 36d ago vs the ~21d cadence this stage needs — going quiet | engagement +7.2: engagement points 7.2 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction +5.0: Close date 2026-09-30 -> 2026-07-31 (pulled in 61d) — accelerating | confidence -5.0: rep confidence 10% (low),
Stemline Therapeutics Inc,Stemline Opp- Sep'25,Formal Evaluation,False,Pipeline,130000.0,2026-10-28,False,Slowing,32.1,29.6,57.2,52.1,21.9,13.6,44.2,66.0,66 by competitive visibility=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) | trend_nudge -3.1: recent CRM moves: close pushed 69d | preference -3.0: preference strength -0.50 (weight 20) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | champion -2.2: champion strength -0.50 (weight 15) | close_date_trend -1.6: close date trend -0.64,engagement +8.0: buyer touched the deal 7d ago (buyer reply) — freshness floor | close_date_direction -5.9: Close date 2026-08-20 -> 2026-10-28 (pushed out 69d) — 69d cumulative push is beyond tolerance,
TAQA (Abu Dhabi National Energy),TAQA_Transmission_E-Proc & Intake,Qualified,False,Pipeline,130000.0,2026-09-30,False,Slowing,5.0,5.0,25.0,25.0,0.0,11.7,49.6,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | exec_access +3.8: exec access strength +0.85 (weight 15) — from MEDDPICC 2.0: Not identified. Ammar Mouhands attended but his ro | preference +2.4: preference strength +0.40 (weight 20) | business_case -1.5: business case strength -0.50 (weight 10),stalling -6.8: last genuine buyer touch 47d ago vs the ~30d cadence this stage needs — going quiet | confidence -5.0: rep confidence 5% (low) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Coursera Inc,Coursera_contract+eproc+intake_Mar26,Qualified,False,Pipeline,130000.0,2027-03-17,False,Off Track,5.0,5.0,31.9,31.9,0.0,15.2,25.3,30.0,52 by access to power (economic buyer)=gap,False,"momentum_adj -18.1: momentum 32 vs stage-expected 50 | trend_nudge +6.0: recent CRM moves: stage advanced, close pulled in | competitive -4.5: competitive strength -1.00 (weight 15) | differentiation +3.6: differentiation strength +0.60 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15)",stalling -25.0: last genuine buyer touch 135d ago vs the ~30d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction +0.9: Close date 2027-03-26 -> 2027-03-17 (pulled in 9d) — accelerating,
VODAFONE IDEA LIMITED,Vodafone-CLM-June'26,Formal Evaluation,False,Pipeline,130000.0,2026-10-24,False,At Risk,52.0,52.0,78.5,78.5,38.9,30.7,44.2,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj +13.2: momentum 78 vs stage-expected 52 | trend_nudge +8.0: recent CRM moves: stage advanced, amount up, close pulled in | stage_trend +2.6: stage trend +0.74 | preference +2.4: preference strength +0.40 (weight 20) | close_date_trend +2.4: close date trend +0.98 | exec_access -2.2: exec access strength -0.50 (weight 15)",engagement +22.5: engagement points 22.5 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction +5.0: Close date 2027-06-24 -> 2026-10-24 (pulled in 243d) — accelerating | confidence -5.0: rep confidence 25% (low),
BitSight,BitSight P2P Evaluation,Shortlisted,True,Upside Key Deal,130000.0,2026-07-29,False,Slowing,33.8,33.8,36.0,36.0,24.2,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -20.0: momentum 36 vs stage-expected 56 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'final decision' in Next-Step/narrative | differentiation -2.4: differentiation strength -0.40 (weight 20) | close_date_trend -1.9: close date trend -0.76 | preference -1.8: preference strength -0.30 (weight 20) | champion +1.4: champion strength +0.30 (weight 15),"regression -10.0: forecast category trend: moved DOWN recently — forecast/stage cut, deal regressing | stalling -4.0: no recent meeting, but active deal flow 2d ago — late-stage email/contract cadence (award/redlines/scheduling)",
NVISION Eye Centers,NvisionEyeCenter_S2P_May26,Formal Evaluation,False,Best Case,130000.0,2026-09-29,False,Close Date Risk,52.0,52.0,68.0,68.0,46.7,16.8,54.7,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj +8.0: momentum 68 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | trend_nudge +4.4: recent CRM moves: stage advanced, forecast upgraded, close pushed 59d | forecast_conviction +4.0: Best Case forecast is evidence-consistent — manager conviction credited | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20)",engagement +12.0: 5 inbound buyer repl(ies) in the last 30d (legacy volume read) | progression +6.0: stage trend: moved UP recently — deal advancing,
Manscaped,Manscaped_P2P_Mar26,Shortlisted,True,Upside Key Deal,130000.0,2026-08-31,False,Slowing,28.4,28.4,43.0,43.0,11.1,34.7,54.7,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj -13.0: momentum 43 vs stage-expected 56 | scope_reduced -7.0: scope narrowed vs prior — Manscaped ran a separate AP-focused RFP under Lisa Miller and, on 29 Jun 2026, forma | trend_nudge -4.4: recent CRM moves: forecast downgraded, close pushed 32d | preference +3.0: preference strength +0.50 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | forecast_category_trend -1.9: forecast category trend -0.54","regression -10.0: forecast category trend: moved DOWN recently — forecast/stage cut, deal regressing | engagement +5.7: 3 session(s) in the last 30d (legacy volume read) — discounted ×0.82 (deal trending DOWN on 1 axis) | stalling -2.7: last genuine buyer touch 22d ago vs the ~18d cadence this stage needs — going quiet",
Metallus,Metallus_eInvoicing_May'26,Shortlisted,False,Best Case,127400.0,2027-08-06,False,At Risk,46.3,46.3,50.0,50.0,23.6,43.1,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -6.0: momentum 50 vs stage-expected 56 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | competitive +0.9: competitive strength +0.20 (weight 15),,
Culture Fresh Foods,CFF_iSource+CLM+eProc_Opp_July'26,Qualified,False,Pipeline,125000.0,2026-12-15,False,Off Track,5.0,5.0,38.0,35.0,0.0,16.8,39.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -15.0: momentum 35 vs stage-expected 50 | differentiation -3.0: differentiation strength -0.50 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | business_case -1.5: business case strength -0.50 (weight 10),stalling -12.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) | verdict_reconcile -3.0: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35,
NY Creates,NYCreates_iSupplier+iRisk+eProc_Opp_June'26,Qualified,False,Pipeline,125000.0,2027-03-17,False,Slowing,24.6,24.6,56.0,56.0,18.7,13.6,51.0,30.0,52 by access to power (economic buyer)=gap,False,trend_nudge +4.0: recent CRM moves: stage advanced | preference -3.0: preference strength -0.50 (weight 20) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative | momentum_adj +3.0: momentum 56 vs stage-expected 50 | differentiation -2.4: differentiation strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),progression +6.0: stage trend: moved UP recently — deal advancing,
Checkers - Rally's,Checkers - Rally's_ Opp - February '26,Qualified,True,Best Case,125000.0,2026-08-27,False,Slowing,5.0,5.0,25.0,25.0,0.0,6.4,26.5,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'executive sponsor' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15),stalling -25.0: last genuine buyer touch 132d ago vs the ~30d cadence this stage needs — going quiet | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Actylis,Actylis S2C Opp_April'26,Qualified,False,Pipeline,125000.0,2027-02-25,False,Off Track,5.0,5.0,38.0,35.0,0.0,11.2,33.5,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -15.0: momentum 35 vs stage-expected 50 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20),stalling -12.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a | verdict_reconcile -3.0: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35,
Florida A&M University,Florida A&M University_ Opp - March '26,Qualified,False,Pipeline,125000.0,2026-10-21,False,Slowing,5.0,5.0,24.8,19.8,0.0,9.1,41.9,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -30.2: momentum 20 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge -2.8: recent CRM moves: close pushed 62d | preference -2.4: preference strength -0.40 (weight 20),stalling -25.0: last genuine buyer touch 113d ago vs the ~30d cadence this stage needs — going quiet | close_date_direction -5.2: Close date 2026-08-20 -> 2026-10-21 (pushed out 62d) — 62d cumulative push is beyond tolerance | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
"Pep Promotions Execution Partners, LLC",Pep Opp - December '25,Shortlisted,True,Upside Key Deal,120000.0,2026-07-28,False,Off Track,50.5,34.1,51.4,35.0,11.3,38.0,39.9,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -21.0: momentum 35 vs stage-expected 56 | differentiation +6.0: differentiation strength +1.00 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +0.9: competitive strength +0.20 (weight 15),verdict_reconcile -16.4: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35 | engagement +1.4: engagement points 1.4 (type × buyer/rep × recency over 60d),
Barbizon Lighting Co,BarbizonLighting_Opp_S2C_April'26,Qualified,False,Pipeline,120000.0,2027-03-18,False,Slowing,5.0,5.0,24.0,22.0,0.0,11.7,39.9,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -28.0: momentum 22 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15),stalling -22.0: last genuine buyer touch 85d ago vs the ~30d cadence this stage needs — going quiet | close_date_direction -12.0: Close date 2026-08-21 -> 2027-03-18 (pushed out 209d) — 209d cumulative push is beyond tolerance | progression +6.0: stage trend: moved UP recently — deal advancing,
"MedImpact Healthcare Systems, Inc.",MedImpact_Spend+Supplier_June'26,Qualified,False,Pipeline,120000.0,2027-06-17,False,On Track,30.0,30.0,64.0,64.0,30.5,0.0,44.2,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj +7.0: momentum 64 vs stage-expected 50 | trend_nudge +4.0: recent CRM moves: stage advanced | preference -3.0: preference strength -0.50 (weight 20) | stage_trend +2.4: stage trend +0.67 | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15),engagement +8.0: buyer touched the deal 9d ago (buyer reply) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing,
Drees Homes,Drees Homes_Sourcing&SRPM_Opp_June'26,Qualified,False,Pipeline,120000.0,2026-11-13,False,Slowing,18.2,18.2,41.2,41.2,8.5,11.7,35.8,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -8.8: momentum 41 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | exec_access -2.2: exec access strength -0.50 (weight 15) | preference +1.8: preference strength +0.30 (weight 20) | stage_trend +1.8: stage trend +0.52 | forecast_category_trend -1.8: forecast category trend -0.52,"regression -10.0: forecast category trend: moved DOWN recently — forecast/stage cut, deal regressing | engagement +1.2: engagement points 1.5 (type × buyer/rep × recency over 60d) — discounted ×0.82 (deal trending DOWN on 1 axis)",
Bronte Construction,Bronte Construction Opp isupp iSource P2P ANA Mar '26,Qualified,True,Pipeline,120000.0,2026-09-23,False,Off Track,5.0,5.0,31.6,31.6,0.0,11.2,40.5,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -18.4: momentum 32 vs stage-expected 50 | differentiation -3.0: differentiation strength -0.50 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15),stalling -18.4: last genuine buyer touch 76d ago vs the ~30d cadence this stage needs — going quiet,
Milliken,Milliken_CLM/SRM/Intake/ANA,Qualified,False,Pipeline,120000.0,2026-12-29,False,Slowing,27.3,26.7,61.2,60.0,22.0,11.7,49.6,30.0,52 by access to power (economic buyer)=gap,False,"differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | momentum_adj +5.0: momentum 60 vs stage-expected 50 | competitive -4.5: competitive strength -1.00 (weight 15) | preference +2.4: preference strength +0.40 (weight 20) | trend_nudge +2.3: recent CRM moves: stage advanced, close pushed 39d | exec_access -2.2: exec access strength -0.50 (weight 15)",engagement +6.8: engagement points 6.8 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing | stalling -1.6: last genuine buyer touch 34d ago vs the ~30d cadence this stage needs — going quiet | verdict_reconcile -1.2: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
"Banc of California, Inc.",BancofCalifornia_S2C_May'26,Qualified,False,Pipeline,120000.0,2027-05-19,False,At Risk,13.6,13.6,46.0,46.0,3.6,16.8,44.2,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -4.0: momentum 46 vs stage-expected 50 | preference -2.4: preference strength -0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) | competitive +0.9: competitive strength +0.20 (weight 15),stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
"Riot Games, Inc",RiotGames_einvoicing_June'26,Qualified,False,Pipeline,120000.0,2027-06-11,False,Slowing,29.2,29.2,58.9,58.9,22.3,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | momentum_adj +4.4: momentum 59 vs stage-expected 50 | trend_nudge +4.0: recent CRM moves: stage advanced | preference -2.4: preference strength -0.40 (weight 20) | stage_trend +2.4: stage trend +0.67,progression +6.0: stage trend: moved UP recently — deal advancing | engagement +2.9: engagement points 2.9 (type × buyer/rep × recency over 60d),
"Bailey Nurseries, Inc.",BaileyNurseries_P2P_Feb26,Formal Evaluation,False,Pipeline,120000.0,2026-10-30,False,Slowing,22.2,18.4,55.3,49.8,10.4,13.6,44.2,52.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | trend_nudge -4.0: recent CRM moves: close pushed 92d | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | close_date_trend -2.2: close date trend -0.88,close_date_direction -8.2: Close date 2026-07-30 -> 2026-10-30 (pushed out 92d) — 92d cumulative push is beyond tolerance | engagement +8.0: buyer touched the deal 14d ago (buyer reply) — freshness floor,
ITT INC,ITT_Spend_May'26,Qualified,False,Pipeline,120000.0,2026-11-20,False,Slowing,5.0,5.0,42.0,42.0,0.0,13.6,44.2,30.0,74 by access to power (economic buyer)=partial,False,momentum_adj -8.0: momentum 42 vs stage-expected 50 | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'savings' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | trend_nudge -2.3: recent CRM moves: close pushed 51d | differentiation +1.8: differentiation strength +0.30 (weight 20) | close_date_trend -1.6: close date trend -0.65,stalling -8.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
GoTyme Bank,GoTyme CLM,Formal Evaluation,False,Pipeline,120000.0,2027-01-31,False,Off Track,26.7,11.7,50.0,35.0,0.0,15.2,25.3,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -17.0: momentum 35 vs stage-expected 52 | preference -3.0: preference strength -0.50 (weight 20) | exec_access +2.7: exec access strength +0.60 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | differentiation -2.4: differentiation strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | business_case -1.5: business case strength -0.50 (weight 10),verdict_reconcile -15.0: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35,
First Horizon Bank,First horizon_intake + imanage_june'26,Qualified,False,Pipeline,120000.0,2026-12-17,False,Slowing,22.6,19.4,54.9,49.2,11.3,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'ai capabilit' in Next-Step/narrative | exec_access -2.2: exec access strength -0.50 (weight 15) | stage_trend +1.9: stage trend +0.55 | preference -1.8: preference strength -0.30 (weight 20) | close_date_trend -1.8: close date trend -0.73 | business_case -1.5: business case strength -0.50 (weight 10),close_date_direction -8.9: Close date 2026-09-09 -> 2026-12-17 (pushed out 99d) — 99d cumulative push is beyond tolerance | progression +6.0: stage trend: moved UP recently — deal advancing | engagement +2.1: engagement points 2.1 (type × buyer/rep × recency over 60d),
"McCormick & Company, Inc",McCormick_SRM+Intake_April'26,Qualified,False,Pipeline,120000.0,2027-04-30,False,Slowing,5.0,5.0,31.0,31.0,0.0,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -19.0: momentum 31 vs stage-expected 50 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge +4.0: recent CRM moves: stage advanced | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),stalling -25.0: last genuine buyer touch 474d ago vs the ~30d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing,
HEIFER PROJECT INTERNATIONAL,Heifer_S2C_March26,Qualified,False,Pipeline,120000.0,2027-02-26,False,Off Track,7.8,7.8,33.1,33.1,0.0,7.9,33.1,30.0,52 by access to power (economic buyer)=gap,False,"momentum_adj -16.9: momentum 33 vs stage-expected 50 | trend_nudge +6.0: recent CRM moves: stage advanced, close pulled in | differentiation +3.6: differentiation strength +0.60 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15)",stalling -25.0: last genuine buyer touch 112d ago vs the ~30d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction +2.1: Close date 2027-03-19 -> 2027-02-26 (pulled in 21d) — accelerating,
Thompson Pipe Group,ThompsonPipeGroup_S2P_May26,Formal Evaluation,False,Pipeline,120000.0,2026-10-01,False,Close Date Risk,69.6,69.6,64.4,64.4,58.0,24.4,44.2,70.0,74 by access to power (economic buyer)=partial,False,momentum_adj +6.2: momentum 64 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cfo' in Next-Step/narrative | trend_nudge +4.0: recent CRM moves: stage advanced | preference +3.0: preference strength +0.50 (weight 20) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative,engagement +8.4: engagement points 8.4 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing,
Tekni-Plex Inc,Tekni-Plex_ANA_Apr'26,Qualified,False,Pipeline,120000.0,2027-04-30,False,Slowing,26.6,26.6,48.0,48.0,20.4,11.7,49.6,30.0,52 by access to power (economic buyer)=gap,False,differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15) | momentum_adj -2.0: momentum 48 vs stage-expected 50,stalling -4.8: last genuine buyer touch 42d ago vs the ~30d cadence this stage needs — going quiet | engagement +2.8: engagement points 2.8 (type × buyer/rep × recency over 60d),
DuBois Chemicals Inc.,DuBois Chemicals - December '25,Formal Evaluation,True,Best Case,115000.0,2026-07-30,False,Slowing,5.0,5.0,25.0,25.0,0.0,11.7,49.6,70.0,74 by access to power (economic buyer)=partial,False,"momentum_adj -27.0: momentum 25 vs stage-expected 52 | scope_reduced -7.0: scope narrowed vs prior — Tharun told Grace on 26 May 2026: 'I believe our going forward, our focus should be  | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'vp procurement' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | preference +2.4: preference strength +0.40 (weight 20)",stalling -12.6: last genuine buyer touch 43d ago vs the ~21d cadence this stage needs — going quiet | engagement +0.4: engagement points 0.4 (type × buyer/rep × recency over 60d) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Lapp Gruppe,Lapp_eproc_2026,Formal Evaluation,False,Pipeline,115000.0,2026-12-31,False,Slowing,52.0,46.0,78.0,60.0,41.3,13.6,54.7,52.0,52 by access to power (economic buyer)=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | momentum_adj +4.0: momentum 60 vs stage-expected 52 | preference +3.0: preference strength +0.50 (weight 20) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'cost saving' in Next-Step/narrative | exec_access -2.2: exec access strength -0.50 (weight 15) | trend_nudge -2.0: recent CRM moves: amount cut,engagement +28.0: engagement points 28.0 (type × buyer/rep × recency over 60d) | verdict_reconcile -18.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
Symrise,"Symrise [S2C, Intake] April'26",Qualified,False,Pipeline,110000.0,2027-04-01,False,Slowing,15.8,15.8,52.0,52.0,8.1,13.6,44.2,30.0,52 by access to power (economic buyer)=gap,False,competitive -4.5: competitive strength -1.00 (weight 15) | trend_nudge +4.0: recent CRM moves: stage advanced | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20),progression +6.0: stage trend: moved UP recently — deal advancing | stalling -4.4: last genuine buyer touch 41d ago vs the ~30d cadence this stage needs — going quiet | engagement +0.4: engagement points 0.4 (type × buyer/rep × recency over 60d),
Quest Diagnostics Incorporated,Quest Diagnostics [S2P] Jan'26,Qualified,False,Pipeline,110000.0,2026-10-23,False,Slowing,5.0,5.0,38.9,34.0,0.0,13.6,39.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -16.0: momentum 34 vs stage-expected 50 | trend_nudge -4.0: recent CRM moves: close pushed 145d | preference +2.4: preference strength +0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15),close_date_direction -12.0: Close date 2026-05-31 -> 2026-10-23 (pushed out 145d) — 145d cumulative push is beyond tolerance | stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a,
"AdaptHealth, LLC",AdaptHealth [S2P] April'26,Qualified,False,Pipeline,110000.0,2027-03-26,False,Slowing,20.2,20.2,34.9,34.9,12.5,13.6,54.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -15.1: momentum 35 vs stage-expected 50 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'ai capabilit' in Next-Step/narrative | trend_nudge +4.0: recent CRM moves: stage advanced | business_case +2.5: business case strength +0.85 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15),stalling -21.2: last genuine buyer touch 83d ago vs the ~30d cadence this stage needs — going quiet | progression +6.0: stage trend: moved UP recently — deal advancing | engagement +0.1: engagement points 0.1 (type × buyer/rep × recency over 60d),
